accession	description	tax_id	scientific_name	first_public	base_count
HQ631472	Drosophila constricta alcohol dehydrogenase (adh) gene, partial cds.	94112	Drosophila constricta	2011-08-30	290
U94197	Drosophila disjuncta alcohol dehydrogenase (Adh) gene, partial cds.	46796	Drosophila disjuncta	1998-02-23	222
U94198	Drosophila iki alcohol dehydrogenase (Adh) gene, partial cds.	58311	Drosophila iki	1998-02-23	204
X68160	D.pseudoobscura Adh gene for alcohol dehydrogenase (PS299)	7237	Drosophila pseudoobscura	1992-10-08	3473
AB026533	Drosophila saltans gene for alcohol dehydrogenase, partial cds.	7273	Drosophila saltans	1999-10-29	847
AY006410	Drosophila hemipeza alcohol dehydrogenase (Adh) gene, partial cds.	46800	Drosophila hemipeza	2001-09-04	510
AY006420	Drosophila neopicta alcohol dehydrogenase (Adh) gene, partial cds.	47048	Drosophila neopicta	2001-09-04	510
AY081441	Drosophila bromeliae alcohol dehydrogenase (Adh) gene, partial cds.	7278	Drosophila bromeliae	2002-08-09	289
AY081442	Drosophila polychaeta alcohol dehydrogenase (Adh) gene, partial cds.	30041	Drosophila polychaeta	2002-08-09	283
DQ471658	Drosophila ezoana alcohol dehydrogenase (Adh) gene, partial cds.	47313	Drosophila ezoana	2006-07-20	711
DQ471668	Drosophila virilis alcohol dehydrogenase (Adh) gene, partial cds.	7244	Drosophila virilis	2006-07-20	711
HQ631481	Drosophila parabipectinata alcohol dehydrogenase (adh) gene, partial cds.	186283	Drosophila parabipectinata	2011-08-30	290
MF908506	Drosophila subpulchrella alcohol dehydrogenase (adh) gene, partial cds.	1486046	Drosophila subpulchrella	2018-08-19	763
AY750134	Drosophila gani alcohol dehydrogenase (Adh) gene, partial cds.	311479	Drosophila gani	2005-12-31	911
AY006423	Drosophila setosifrons alcohol dehydrogenase (Adh) gene, partial cds.	46830	Drosophila setosifrons	2001-09-04	510
AY750142	Drosophila gani alcohol dehydrogenase (Adh) gene, partial cds.	311479	Drosophila gani	2005-12-31	911
X68166	D.pseudoobscura Adh gene for alcohol dehydrogenase (PS316)	7237	Drosophila pseudoobscura	1992-10-08	3505
X68163	D.pseudoobscura Adh gene for alcohol dehydrogenase (PS306)	7237	Drosophila pseudoobscura	1992-10-08	3489
AY081443	Drosophila ornatipennis alcohol dehydrogenase (Adh) gene, partial cds.	133996	Drosophila ornatipennis	2002-08-09	277
AY081439	Drosophila ornatifrons alcohol dehydrogenase (Adh) gene, partial cds.	30031	Drosophila ornatifrons	2002-08-09	283
U94194	Drosophila adunca alcohol dehydrogenase (Adh) gene, partial cds.	46893	Drosophila adunca	1998-02-23	204
X68162	D.pseudoobscura Adh gene for alcohol dehydrogenase (PS315)	7237	Drosophila pseudoobscura	1992-10-08	3482
Z00033	Drosophila mauritiana alcohol dehydrogenase gene and 5' flanks	7226	Drosophila mauritiana	1986-07-02	1835
U26837	Drosophila americana alcohol dehydrogenase (Adh) gene, complete cds.	40366	Drosophila americana	1995-06-22	950
U90954	Drosophila sinobscura alcohol dehydrogenase (Adh) gene, partial cds.	57874	Drosophila sinobscura	1997-11-14	431
AY238772	Drosophila miranda strain 0101.5 alcohol dehydrogenase (Adh) gene, complete cds and alcohol dehydrogenase related protein (Adhr) gene, partial cds.	7229	Drosophila miranda	2003-04-08	2042
AY238774	Drosophila miranda strain 0101.9 alcohol dehydrogenase (Adh) gene, complete cds and alcohol dehydrogenase related protein (Adhr) gene, partial cds.	7229	Drosophila miranda	2003-04-08	2042
AB932677	Drosophila testacea Adh gene for alcohol dehydrogenase, partial cds.	38838	Drosophila testacea	2015-01-14	826
AF260695	Drosophila gymnobasis alcohol dehydrogenase-related protein gene, partial cds.	7267	Drosophila gymnobasis	2000-09-20	506
KM016469	Drosophila simulans isolate KY31 alcohol dehydrogenase-related gene, intron.	7240	Drosophila simulans	2014-09-24	478
KM016472	Drosophila simulans isolate KY01 alcohol dehydrogenase-related gene, intron.	7240	Drosophila simulans	2014-09-24	480
KM016475	Drosophila simulans isolate KY05 alcohol dehydrogenase-related gene, intron.	7240	Drosophila simulans	2014-09-24	479
AB261137	Drosophila nasuta Adh gene for alcohol dehydrogenase, partial cds.	42062	Drosophila nasuta	2007-11-03	863
AB932655	Drosophila falleni Adh gene for alcohol dehydrogenase, partial cds.	7279	Drosophila falleni	2014-10-26	810
AB932660	Drosophila innubila Adh gene for alcohol dehydrogenase, partial cds.	198719	Drosophila innubila	2014-10-26	776
DQ471611	Drosophila americana texana alcohol dehydrogenase (Adh) gene, partial cds.	40372	Drosophila americana texana	2006-07-20	711
X57362	Drosophila simulans (individual d) Adh gene for alcohol dehydrogenase	7240	Drosophila simulans	1991-07-17	973
X57370	Drosophila yakuba (individual f) Adh gene for alcohol dehydrogenase	7245	Drosophila yakuba	1991-07-17	975
AB033642	Drosophila albomicans Adh mRNA for alcohol dehydrogenase, partial cds.	7291	Drosophila albomicans	1999-11-16	711
AB261131	Drosophila formosana Adh gene for alcohol dehydrogenase, partial cds.	157056	Drosophila formosana	2007-11-03	839
AB932659	Drosophila histrio Adh gene for alcohol dehydrogenase, partial cds.	198718	Drosophila histrio	2015-01-14	840
AY279323	Drosophila erecta alcohol dehydrogenase related (Adhr) gene, partial cds.	7220	Drosophila erecta	2004-03-31	319
HQ232351	Drosophila hypercephala isolate c2 alcohol dehydrogenase gene, partial cds.	1052065	Drosophila hypercephala	2011-08-08	437
M60991	Drosophila pseudoobscura bogotana alcohol dehydrogenase (adh) gene, complete cds.	46244	Drosophila pseudoobscura bogotana	1992-01-26	3475
U95259	Drosophila willistoni Guana alcohol dehydrogenase (Adh) gene, complete cds.	7260	Drosophila willistoni	1999-01-06	1172
X60792	D.melanogaster (strain RI32) Adh gene for alcohol dehydrogenase	7227	Drosophila melanogaster	1991-10-07	1901
AB261134	Drosophila neohypocausta Adh gene for alcohol dehydrogenase, partial cds.	157057	Drosophila neohypocausta	2007-11-03	879
AF260691	Drosophila virilis alcohol dehydrogenase-related protein gene, partial cds.	7244	Drosophila virilis	2000-09-20	456
AB261140	Drosophila maculinotata Adh gene for alcohol dehydrogenase, partial cds.	387622	Drosophila maculinotata	2007-11-03	840
X57361	Drosophila simulans (individual c) Adh gene for alcohol dehydrogenase	7240	Drosophila simulans	1991-07-17	969
U95273	Drosophila insularis FA alcohol dehydrogenase (Adh) gene, complete cds.	46792	Drosophila insularis	1999-01-06	1183
AB154559	Drosophila kikkawai gene for alcohol dehydrogenase, partial cds, isolate:DkikAdh18.	30033	Drosophila kikkawai	2004-04-01	683
AF201446	Drosophila simulans isolate MD112 alcohol dehydrogenase (Adhr) gene, intron 1.	7240	Drosophila simulans	2000-07-03	481
AY095942	Drosophila kuntzei isolate kun2 alcohol dehydrogenase (Adh) gene, partial cds.	42027	Drosophila kuntzei	2003-05-01	431
AY335200	Drosophila sturtevanti clone Dsturt2 alcohol dehydrogenase (Adh) gene, partial cds.	30047	Drosophila sturtevanti	2003-12-31	792
DQ471624	Drosophila multidentata strain 55 alcohol dehydrogenase (Adh) gene, partial cds.	381467	Drosophila multidentata	2006-07-20	711
JX455212	Drosophila simulans isolate HW03 alcohol dehydrogenase (Adhr) gene, intron 1.	7240	Drosophila simulans	2012-09-03	480
KJ767239	Drosophila melanogaster strain Samarkand alcohol dehydrogenase (Adh) gene, partial cds.	7227	Drosophila melanogaster	2014-09-04	872
KX976496	Drosophila yakuba isolate Yakuba_Tai_18 alcohol dehydrogenase (Adh) mRNA, complete cds.	7245	Drosophila yakuba	2016-11-12	771
KX976499	Drosophila yakuba isolate Yakuba_Airport_16_5 alcohol dehydrogenase (Adh) mRNA, complete cds.	7245	Drosophila yakuba	2016-11-12	771
KX976511	Drosophila yakuba isolate Yakuba_1_19 alcohol dehydrogenase (Adh) mRNA, complete cds.	7245	Drosophila yakuba	2016-11-12	771
LC057197	Drosophila sp. KO4 Adh gene for alcohol dehydrogenase, partial cds.	1660391	Drosophila sp. KO4	2019-06-04	822
M60984	Drosophila pseudoobscura (strain AH133) alcohol dehydrogenase (adh) gene, complete cds.	7237	Drosophila pseudoobscura	1992-04-30	3494
U95270	Drosophila paulistorum 0771.4 alcohol dehydrogenase (Adh) gene, complete cds.	46793	Drosophila paulistorum	1999-01-06	1168
AB154546	Drosophila kikkawai gene for alcohol dehydrogenase, partial cds, isolate:DkikAdh05.	30033	Drosophila kikkawai	2004-04-01	686
AF201431	Drosophila simulans isolate HW09 alcohol dehydrogenase (Adhr) gene, intron 1.	7240	Drosophila simulans	2000-07-03	480
DQ471648	Drosophila barutani strain 245 alcohol dehydrogenase (Adh) gene, partial cds.	381452	Drosophila barutani	2006-07-20	711
HQ110516	Drosophila prosaltans isolate D_Pros_c2 alcohol dehydrogenase (Adh) gene, partial cds.	30042	Drosophila prosaltans	2011-05-06	859
HQ110517	Drosophila prosaltans isolate D_pros_c3 alcohol dehydrogenase (Adh) gene, partial cds.	30042	Drosophila prosaltans	2011-05-06	828
KX976503	Drosophila yakuba isolate Yakuba_SN_Cascade_22 alcohol dehydrogenase (Adh) mRNA, complete cds.	7245	Drosophila yakuba	2016-11-12	771
KX976508	Drosophila yakuba isolate Yakuba_COST_1235_3 alcohol dehydrogenase (Adh) mRNA, complete cds.	7245	Drosophila yakuba	2016-11-12	771
M19276	D.simulans alcohol dehydrogenase gene, exons 1,2 and 3.	7240	Drosophila simulans	1991-07-26	829
M60982	Drosophila pseudoobscura (strain AH100) alcohol dehydrogenase adh gene, complete cds.	7237	Drosophila pseudoobscura	1992-04-30	3472
AB154545	Drosophila kikkawai gene for alcohol dehydrogenase, partial cds, isolate:DkikAdh04.	30033	Drosophila kikkawai	2004-04-01	683
AB154555	Drosophila kikkawai gene for alcohol dehydrogenase, partial cds, isolate:DkikAdh14.	30033	Drosophila kikkawai	2004-04-01	683
AB154563	Drosophila lini gene for alcohol dehydrogenase, partial cds, isolate:DliniAdh.	74550	Drosophila lini	2004-04-01	698
AF201426	Drosophila mauritiana isolate BG1 alcohol dehydrogenase (Adhr) gene, intron 1.	7226	Drosophila mauritiana	2000-07-03	478
AF201433	Drosophila simulans isolate NC48 alcohol dehydrogenase (Adhr) gene, intron 1.	7240	Drosophila simulans	2000-07-03	479
AF201439	Drosophila simulans isolate SC00 alcohol dehydrogenase (Adhr) gene, intron 1.	7240	Drosophila simulans	2000-07-03	485
AF201444	Drosophila simulans isolate RU259 alcohol dehydrogenase (Adhr) gene, intron 1.	7240	Drosophila simulans	2000-07-03	479
AF284480	Drosophila sechellia strain 24 alcohol dehydrogenase (Adh) gene, partial cds.	7238	Drosophila sechellia	2000-11-02	700
AY095936	Drosophila limbata isolate lim2 alcohol dehydrogenase (Adh) gene, partial cds.	42028	Drosophila limbata	2003-05-01	446
AY095937	Drosophila transversa isolate tra3 alcohol dehydrogenase (Adh) gene, partial cds.	193351	Drosophila transversa	2003-05-01	437
AY095945	Drosophila curvispina isolate cur2 alcohol dehydrogenase (Adh) gene, partial cds.	126591	Drosophila curvispina	2003-05-01	443
AY156524	Drosophila navojoa alcohol dehydrogenase 1 (adh-1) gene, complete cds.	7232	Drosophila navojoa	2003-03-03	879
EU532125	Drosophila paulistorum from Brazil alcohol dehydrogenase (Adh) gene, partial cds.	46793	Drosophila paulistorum	2010-01-21	542
KX976510	Drosophila yakuba isolate Yakuba_OBAT_1200_5 alcohol dehydrogenase (Adh) mRNA, complete cds.	7245	Drosophila yakuba	2016-11-12	771
M60986	Drosophila pseudoobscura (strain AH144) alcohol dehydrogenase (adh) gene, complete cds.	7237	Drosophila pseudoobscura	1992-01-26	3463
AB154547	Drosophila kikkawai gene for alcohol dehydrogenase, partial cds, isolate:DkikAdh06.	30033	Drosophila kikkawai	2004-04-01	683
AY095948	Drosophila unispina isolate uni2 alcohol dehydrogenase (Adh) gene, partial cds.	193352	Drosophila unispina	2003-05-01	442
KX976504	Drosophila yakuba isolate Yakuba_SA_3 alcohol dehydrogenase (Adh) mRNA, complete cds.	7245	Drosophila yakuba	2016-11-12	771
KX976509	Drosophila yakuba isolate Yakuba_2_14 alcohol dehydrogenase (Adh) mRNA, complete cds.	7245	Drosophila yakuba	2016-11-12	771
KX976514	Drosophila yakuba isolate Yakuba_2_11b alcohol dehydrogenase (Adh) mRNA, complete cds.	7245	Drosophila yakuba	2016-11-12	771
KX976494	Drosophila yakuba isolate Yakuba_Cascade_21_Combined alcohol dehydrogenase (Adh) mRNA, complete cds.	7245	Drosophila yakuba	2016-11-12	771
AB669844	Drosophila malagassya Adh gene for alcohol dehydrogenase, partial cds, strain: J6.	30035	Drosophila malagassya	2014-01-02	840
AB669863	Drosophila kikkawai Adh gene for alcohol dehydrogenase, partial cds, strain: HNL123.	30033	Drosophila kikkawai	2014-01-02	832
AB669870	Drosophila ogumai Adh gene for alcohol dehydrogenase, partial cds, strain: RGN206.	307244	Drosophila ogumai	2014-01-02	836
AF136684	Drosophila americana americana G96.38Y alcohol dehydrogenase (Adh) gene, partial cds.	95109	Drosophila americana americana	1999-06-03	884
AF136689	Drosophila americana americana G96.13Y alcohol dehydrogenase (Adh) gene, partial cds.	95109	Drosophila americana americana	1999-06-03	884
AF136703	Drosophila americana texana LP97.12 alcohol dehydrogenase (Adh) gene, partial cds.	40372	Drosophila americana texana	1999-06-03	884
AF175213	Drosophila melanogaster alcohol dehydrogenase (Adh) gene, Adh-h18 allele, complete cds.	7227	Drosophila melanogaster	1999-10-06	951
AF175215	Drosophila melanogaster alcohol dehydrogenase (Adh) gene, Adh-h3 allele, complete cds.	7227	Drosophila melanogaster	1999-10-06	951
AF459754	Drosophila ananassae alcohol dehydrogenase (Adh) gene, exon 2 and partial cds.	7217	Drosophila ananassae	2002-05-16	290
AF459774	Drosophila serrata alcohol dehydrogenase (Adh) gene, exon 2 and partial cds.	7274	Drosophila serrata	2002-05-16	290
U64538	Drosophila pseudoobscura alcohol dehydrogenase (Adh) gene, Adh-PS280 allele, complete cds.	7237	Drosophila pseudoobscura	1996-08-16	3510
U64553	Drosophila pseudoobscura alcohol dehydrogenase (Adh) gene, Adh-PS342 allele, complete cds.	7237	Drosophila pseudoobscura	1996-08-16	3455
U64554	Drosophila pseudoobscura alcohol dehydrogenase (Adh) gene, Adh-PS343 allele, complete cds.	7237	Drosophila pseudoobscura	1996-08-16	3467
AB669892	Drosophila pseudobaimaii Adh gene for alcohol dehydrogenase, partial cds, strain: K41.	1084238	Drosophila pseudobaimaii	2014-01-02	779
AF136671	Drosophila americana americana G96.11X alcohol dehydrogenase (Adh) gene, partial cds.	95109	Drosophila americana americana	1999-06-03	884
AF136693	Drosophila americana americana G96.45Y alcohol dehydrogenase (Adh) gene, partial cds.	95109	Drosophila americana americana	1999-06-03	884
AF136697	Drosophila americana americana G96.12Y alcohol dehydrogenase (Adh) gene, partial cds.	95109	Drosophila americana americana	1999-06-03	884
AF459766	Drosophila vulcana alcohol dehydrogenase (Adh) gene, exon 2 and partial cds.	132243	Drosophila vulcana	2002-05-16	290
L78924	Drosophila mimica (strain 15292-2561.4) alcohol dehydrogenase gene, partial cds.	7270	Drosophila mimica	1996-06-25	822
L78926	Drosophila mimica (strain 15292-2561.6) alcohol dehydrogenase gene, partial cds.	7270	Drosophila mimica	1996-06-25	822
L78927	Drosophila mimica (strain 15292-2561.8) alcohol dehydrogenase gene, partial cds.	7270	Drosophila mimica	1996-06-25	822
U64521	Drosophila pseudoobscura alcohol dehydrogenase (Adh) gene, Adh-GB48 allele, complete cds.	7237	Drosophila pseudoobscura	1996-08-16	3484
U64523	Drosophila pseudoobscura alcohol dehydrogenase (Adh) gene, Adh-PS231 allele, complete cds.	7237	Drosophila pseudoobscura	1996-08-16	3468
U76475	Drosophila hydei strain 7 alcohol dehydrogenase (Adh-Finnegan) gene, partial cds.	7224	Drosophila hydei	1996-11-19	897
AB669825	Drosophila auraria Adh gene for alcohol dehydrogenase, partial cds, strain: A12.	47315	Drosophila auraria	2014-01-02	842
AB669845	Drosophila malagassya Adh gene for alcohol dehydrogenase, partial cds, strain: J52.	30035	Drosophila malagassya	2014-01-02	836
AB669878	Drosophila serrata Adh gene for alcohol dehydrogenase, partial cds, strain: POM503.	7274	Drosophila serrata	2014-01-02	838
AF136660	Drosophila americana americana G96.12X alcohol dehydrogenase (Adh) gene, partial cds.	95109	Drosophila americana americana	1999-06-03	884
AF136666	Drosophila americana americana G96.24X alcohol dehydrogenase (Adh) gene, partial cds.	95109	Drosophila americana americana	1999-06-03	884
AF459748	Drosophila prostipennis alcohol dehydrogenase (Adh) gene, exon 2 and partial cds.	94111	Drosophila prostipennis	2002-05-16	290
AF459752	Drosophila mimetica alcohol dehydrogenase (Adh) gene, exon 2 and partial cds.	30038	Drosophila mimetica	2002-05-16	290
AF459761	Drosophila bicornuta alcohol dehydrogenase (Adh) gene, exon 2 and partial cds.	112146	Drosophila bicornuta	2002-05-16	290
AF459762	Drosophila diplacantha alcohol dehydrogenase (Adh) gene, exon 2 and partial cds.	61426	Drosophila diplacantha	2002-05-16	290
AF459768	Drosophila auraria alcohol dehydrogenase (Adh) gene, exon 2 and partial cds.	47315	Drosophila auraria	2002-05-16	290
AF459780	Drosophila mayri alcohol dehydrogenase (Adh) gene, exon 2 and partial cds.	137074	Drosophila mayri	2002-05-16	290
EF560574	Drosophila gasici pop-variant Arica alcohol dehydrogenase (adh) gene, partial cds.	306028	Drosophila gasici	2008-05-01	622
U64527	Drosophila pseudoobscura alcohol dehydrogenase (Adh) gene, Adh-PS246 allele, complete cds.	7237	Drosophila pseudoobscura	1996-08-16	3474
U76471	Drosophila hydei strain 3 alcohol dehydrogenase (Adh-Finnegan) gene, partial cds.	7224	Drosophila hydei	1996-11-19	897
U76469	Drosophila hydei strain 1 alcohol dehydrogenase (Adh-Finnegan) gene, partial cds.	7224	Drosophila hydei	1996-11-19	897
AF136701	Drosophila americana texana LP97.05 alcohol dehydrogenase (Adh) gene, partial cds.	40372	Drosophila americana texana	1999-06-03	884
AF459745	Drosophila bifasciata alcohol dehydrogenase (Adh) gene, exon 2 and partial cds.	7218	Drosophila bifasciata	2002-05-16	290
AF459759	Drosophila pallidosa alcohol dehydrogenase (Adh) gene, exon 2 and partial cds.	69217	Drosophila pallidosa	2002-05-16	290
EF560575	Drosophila gasici pop-variant Cochabamba alcohol dehydrogenase (adh) gene, partial cds.	306028	Drosophila gasici	2008-05-01	622
U64531	Drosophila pseudoobscura alcohol dehydrogenase (Adh) gene, Adh-PS256 allele, complete cds.	7237	Drosophila pseudoobscura	1996-08-16	3473
AY364501	Drosophila mojavensis strain 87 alcohol dehydrogenase 1 (Adh1) gene, complete cds.	7230	Drosophila mojavensis	2004-01-30	880
AF136664	Drosophila americana americana G96.23X alcohol dehydrogenase (Adh) gene, partial cds.	95109	Drosophila americana americana	1999-06-03	884
AY695390	Drosophila dunni strain Puerto Rico alcohol dehydrogenase (Adh) mRNA, partial cds.	133979	Drosophila dunni	2006-08-01	385
U94200	Drosophila sp. 'white tip scutellum' alcohol dehydrogenase (Adh) gene, partial cds.	251450	Drosophila longiperda	1998-02-23	204
U64558	Drosophila pseudoobscura alcohol dehydrogenase (Adh) gene, Adh-PS353 allele, complete cds.	7237	Drosophila pseudoobscura	1996-08-16	3471
AH011596	Drosophila lutescens strain 14022-0271.0 alcohol dehydrogenase (Adh) gene, partial cds.	51159	Drosophila lutescens	2016-04-08	911
AY340286	Drosophila americana pop-variant NN97.08X alcohol dehydrogenase (Adh) gene, partial cds.	40366	Drosophila americana	2003-08-13	881
AY340290	Drosophila americana pop-variant N00.05X alcohol dehydrogenase (Adh) gene, partial cds.	40366	Drosophila americana	2003-08-13	881
AY340300	Drosophila americana pop-variant NN97.02Y alcohol dehydrogenase (Adh) gene, partial cds.	40366	Drosophila americana	2003-08-13	881
AY364500	Drosophila mojavensis strain MJS 122 alcohol dehydrogenase 1 (Adh1) gene, complete cds.	7230	Drosophila mojavensis	2004-01-30	880
AY364503	Drosophila mojavensis strain MJS 154 alcohol dehydrogenase 1 (Adh1) gene, complete cds.	7230	Drosophila mojavensis	2004-01-30	880
AY364504	Drosophila mojavensis strain MJS 132 alcohol dehydrogenase 1 (Adh1) gene, complete cds.	7230	Drosophila mojavensis	2004-01-30	880
AY364516	Drosophila mojavensis strain MJS 115 alcohol dehydrogenase-2 (Adh2) gene, complete cds.	7230	Drosophila mojavensis	2004-01-30	879
AY874364	Drosophila subobscura strain line 6 alcohol dehydrogenase (Adh-Twain) gene, partial cds.	7241	Drosophila subobscura	2005-05-31	1412
AB669895	Drosophila tsukubaensis Adh gene for alcohol dehydrogenase, partial cds, strain: tsuk-TKM.	77130	Drosophila tsukubaensis	2014-01-02	841
AB932672	Drosophila ruberrima Adh gene for alcohol dehydrogenase, partial cds, strain: E-14601.	98362	Drosophila ruberrima	2014-10-26	858
AY340279	Drosophila americana pop-variant DN00.02X alcohol dehydrogenase (Adh) gene, partial cds.	40366	Drosophila americana	2003-08-13	881
U76481	Drosophila mulleri strain -1371.18 alcohol dehydrogenase (Adh-Finnegan) gene, partial cds.	7231	Drosophila mulleri	1997-03-06	902
AB669823	Drosophila asahinai Adh gene for alcohol dehydrogenase, partial cds, strain: AM2K-1.	154832	Drosophila asahinai	2014-01-02	839
AB669843	Drosophila greeni Adh gene for alcohol dehydrogenase, partial cds, strain: gree-CNRS.	114631	Drosophila greeni	2014-01-02	830
AB703323	Drosophila narragansett Adh gene for alcohol dehydrogenase, partial cds, clone: D.narragansett.	7254	Drosophila narragansett	2012-03-18	405
AF136650	Drosophila americana americana D.am-.0X alcohol dehydrogenase (Adh) gene, partial cds.	95109	Drosophila americana americana	1999-06-03	884
AF136653	Drosophila americana americana D.am-.9X alcohol dehydrogenase (Adh) gene, partial cds.	95109	Drosophila americana americana	1999-06-03	884
AH011595	Drosophila triauraria strain 14028-0691.0 alcohol dehydrogenase (Adh) gene, partial cds.	67534	Drosophila triauraria	2016-04-08	546
AY340291	Drosophila americana pop-variant NN00.07X alcohol dehydrogenase (Adh) gene, partial cds.	40366	Drosophila americana	2003-08-13	881
AY364511	Drosophila mojavensis strain MJS 36 alcohol dehydrogenase-2 (Adh2) gene, complete cds.	7230	Drosophila mojavensis	2004-01-30	879
AY541096	Drosophila innubila strain CH3_M4 alcohol dehydrogenase-related protein (Adhr) gene, partial cds.	198719	Drosophila innubila	2004-12-13	555
AY541101	Drosophila innubila strain CH5_M76 alcohol dehydrogenase-related protein (Adhr) gene, partial cds.	198719	Drosophila innubila	2004-12-13	555
AY364502	Drosophila mojavensis strain MJS 127 alcohol dehydrogenase 1 (Adh1) gene, complete cds.	7230	Drosophila mojavensis	2004-01-30	880
AF136652	Drosophila americana americana D.am-.6X alcohol dehydrogenase (Adh) gene, partial cds.	95109	Drosophila americana americana	1999-06-03	884
AF136655	Drosophila americana americana D.am-.7X alcohol dehydrogenase (Adh) gene, partial cds.	95109	Drosophila americana americana	1999-06-03	884
AY340293	Drosophila americana pop-variant DN00.01Y alcohol dehydrogenase (Adh) gene, partial cds.	40366	Drosophila americana	2003-08-13	881
AY340297	Drosophila americana pop-variant DN01.02Y alcohol dehydrogenase (Adh) gene, partial cds.	40366	Drosophila americana	2003-08-13	881
AY340298	Drosophila americana pop-variant DN01.03Y alcohol dehydrogenase (Adh) gene, partial cds.	40366	Drosophila americana	2003-08-13	881
AY364514	Drosophila mojavensis strain MJS 84 alcohol dehydrogenase-2 (Adh2) gene, complete cds.	7230	Drosophila mojavensis	2004-01-30	879
AY541100	Drosophila innubila strain CH5_M4 alcohol dehydrogenase-related protein (Adhr) gene, partial cds.	198719	Drosophila innubila	2004-12-13	555
AY874372	Drosophila subobscura strain line 26 alcohol dehydrogenase (Adh-Twain) gene, partial cds.	7241	Drosophila subobscura	2005-05-31	1406
AY364521	Drosophila mojavensis strain MJS 127 alcohol dehydrogenase-2 (Adh2) gene, complete cds.	7230	Drosophila mojavensis	2004-01-30	879
AY340304	Drosophila americana pop-variant NN00.03Y alcohol dehydrogenase (Adh) gene, partial cds.	40366	Drosophila americana	2003-08-13	881
U76479	Drosophila mulleri strain -1371.1 alcohol dehydrogenase (Adh-Finnegan) gene, partial cds.	7231	Drosophila mulleri	1997-03-06	902
AB669857	Drosophila barbarae Adh gene for alcohol dehydrogenase, partial cds, strain: 14028-0491.01.	137354	Drosophila barbarae	2014-01-02	833
LC057200	Drosophila pseudotakahashii Adh gene for alcohol dehydrogenase, partial cds, strain: 14022-0301.00.	193234	Drosophila pseudotakahashii	2019-06-04	830
AB669880	Drosophila baimaii Adh gene for alcohol dehydrogenase, partial cds, strain: 14028-0481.00.	137353	Drosophila baimaii	2014-01-02	838
AF067281	Drosophila eskoi alcohol dehydrogenase (Adh) gene, exons 2 and 3 and partial cds.	77128	Drosophila eskoi	1998-07-02	435
AY364512	Drosophila mojavensis strain MJS 58.2 alcohol dehydrogenase-2 (Adh2) gene, complete cds.	7230	Drosophila mojavensis	2004-01-30	879
M19547	D.melanogaster (strain Af-S) alcohol dehydrogenase gene (allele Adh-S), complete cds.	7227	Drosophila melanogaster	1991-07-01	7119
AB194438	Drosophila bipectinata Adh gene for alcohol dehydrogenase, partial cds, strain:wild type B133.	42026	Drosophila bipectinata	2005-05-07	759
